timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687219426152,37,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-5,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,19,0,6
1687219426152,269,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-5,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,156,0,0
1687219426152,502,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-5,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,338,0,139
1687219426152,1156,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-5,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,805,0,132
1687219426152,1037,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-5,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,1031,0,137
1687219425597,1730,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-44,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,649,0,146
1687219425597,669,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-44,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,649,0,146
1687219426266,58,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-44,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,35,0,8
1687219426267,242,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-44,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,159,0,0
1687219426267,1060,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-44,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,896,0,279
1687219426267,906,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-44,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,564,0,281
1687219426267,840,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-44,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,833,0,278
1687219425467,1867,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-12,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,754,0,137
